Cache Size	Blocksize	Associativity	Random	Accesses	Hits	Misses	Miss Rate (%)	Total Time	Hit Time	Miss Penalty
1024	4	8	true	3000	2630	370	12.3	102800	17	140
1024	1	16	true	3000	1705	1295	43.2	217450	25	110
1024	2	16	true	3000	2315	685	22.8	157200	25	120
1024	1	32	true	3000	1709	1291	43.0	265010	41	110
2048	1	1	true	3000	1692	1308	43.6	173880	10	110
2048	2	1	true	3000	2280	720	24.0	116400	10	120
2048	4	1	true	3000	2472	528	17.6	103920	10	140
2048	8	1	true	3000	2417	583	19.4	134940	10	180
2048	16	1	true	3000	1981	1019	34.0	294940	10	260
2048	32	1	true	3000	1032	1968	65.6	856560	10	420
2048	1	2	true	3000	1897	1103	36.8	157330	12	110
2048	2	2	true	3000	2484	516	17.2	97920	12	120
2048	4	2	true	3000	2742	258	8.6	72120	12	140
2048	8	2	true	3000	2864	136	4.5	60480	12	180
2048	16	2	true	3000	2622	378	12.6	134280	12	260
2048	1	4	true	3000	1908	1092	36.4	168120	16	110
2048	2	4	true	3000	2489	511	17.0	109320	16	120
2048	4	4	true	3000	2741	259	8.6	84260	16	140
2048	8	4	true	3000	2855	145	4.8	74100	16	180
2048	1	8	true	3000	1904	1096	36.5	192560	24	110
2048	2	8	true	3000	2488	512	17.1	133440	24	120
2048	4	8	true	3000	2743	257	8.6	107980	24	140
2048	1	16	true	3000	1901	1099	36.6	240890	40	110
2048	2	16	true	3000	2486	514	17.1	181680	40	120
2048	1	32	true	3000	1899	1101	36.7	337110	72	110
