Cache Size	Blocksize	Associativity	Random	Accesses	Hits	Misses	Miss Rate (%)	Total Time	Hit Time	Miss Penalty
128	1	1	true	3000	1692	1308	43.6	173880	10	110
128	2	1	true	3000	2280	720	24.0	116400	10	120
128	4	1	true	3000	2472	528	17.6	103920	10	140
128	8	1	true	3000	2417	583	19.4	134940	10	180
128	16	1	true	3000	1981	1019	34.0	294940	10	260
128	32	1	true	3000	1032	1968	65.6	856560	10	420
128	1	2	true	3000	1730	1270	42.3	172700	11	110
128	2	2	true	3000	2300	700	23.3	117000	11	120
128	4	2	true	3000	2583	417	13.9	91380	11	140
128	8	2	true	3000	2769	231	7.7	74580	11	180
128	16	2	true	3000	2402	598	19.9	188480	11	260
128	1	4	true	3000	1716	1284	42.8	180240	13	110
128	2	4	true	3000	2325	675	22.5	120000	13	120
128	4	4	true	3000	2608	392	13.1	93880	13	140
128	8	4	true	3000	2758	242	8.1	82560	13	180
128	1	8	true	3000	1729	1271	42.4	190810	17	110
128	2	8	true	3000	2339	661	22.0	130320	17	120
128	4	8	true	3000	2630	370	12.3	102800	17	140
128	1	16	true	3000	1705	1295	43.2	217450	25	110
128	2	16	true	3000	2315	685	22.8	157200	25	120
128	1	32	true	3000	1709	1291	43.0	265010	41	110
256	1	1	true	3000	1692	1308	43.6	173880	10	110
256	2	1	true	3000	2280	720	24.0	116400	10	120
256	4	1	true	3000	2472	528	17.6	103920	10	140
256	8	1	true	3000	2417	583	19.4	134940	10	180
256	16	1	true	3000	1981	1019	34.0	294940	10	260
256	32	1	true	3000	1032	1968	65.6	856560	10	420
256	1	2	true	3000	1730	1270	42.3	172700	11	110
256	2	2	true	3000	2300	700	23.3	117000	11	120
256	4	2	true	3000	2583	417	13.9	91380	11	140
256	8	2	true	3000	2769	231	7.7	74580	11	180
256	16	2	true	3000	2402	598	19.9	188480	11	260
256	1	4	true	3000	1716	1284	42.8	180240	13	110
256	2	4	true	3000	2325	675	22.5	120000	13	120
256	4	4	true	3000	2608	392	13.1	93880	13	140
256	8	4	true	3000	2758	242	8.1	82560	13	180
256	1	8	true	3000	1729	1271	42.4	190810	17	110
256	2	8	true	3000	2339	661	22.0	130320	17	120
256	4	8	true	3000	2630	370	12.3	102800	17	140
256	1	16	true	3000	1705	1295	43.2	217450	25	110
256	2	16	true	3000	2315	685	22.8	157200	25	120
256	1	32	true	3000	1709	1291	43.0	265010	41	110
512	1	1	true	3000	1692	1308	43.6	173880	10	110
512	2	1	true	3000	2280	720	24.0	116400	10	120
512	4	1	true	3000	2472	528	17.6	103920	10	140
512	8	1	true	3000	2417	583	19.4	134940	10	180
512	16	1	true	3000	1981	1019	34.0	294940	10	260
512	32	1	true	3000	1032	1968	65.6	856560	10	420
512	1	2	true	3000	1730	1270	42.3	172700	11	110
512	2	2	true	3000	2300	700	23.3	117000	11	120
512	4	2	true	3000	2583	417	13.9	91380	11	140
512	8	2	true	3000	2769	231	7.7	74580	11	180
512	16	2	true	3000	2402	598	19.9	188480	11	260
512	1	4	true	3000	1716	1284	42.8	180240	13	110
512	2	4	true	3000	2325	675	22.5	120000	13	120
512	4	4	true	3000	2608	392	13.1	93880	13	140
512	8	4	true	3000	2758	242	8.1	82560	13	180
512	1	8	true	3000	1729	1271	42.4	190810	17	110
512	2	8	true	3000	2339	661	22.0	130320	17	120
512	4	8	true	3000	2630	370	12.3	102800	17	140
512	1	16	true	3000	1705	1295	43.2	217450	25	110
512	2	16	true	3000	2315	685	22.8	157200	25	120
512	1	32	true	3000	1709	1291	43.0	265010	41	110
1024	1	1	true	3000	1692	1308	43.6	173880	10	110
1024	2	1	true	3000	2280	720	24.0	116400	10	120
1024	4	1	true	3000	2472	528	17.6	103920	10	140
1024	8	1	true	3000	2417	583	19.4	134940	10	180
1024	16	1	true	3000	1981	1019	34.0	294940	10	260
1024	32	1	true	3000	1032	1968	65.6	856560	10	420
1024	1	2	true	3000	1730	1270	42.3	172700	11	110
1024	2	2	true	3000	2300	700	23.3	117000	11	120
1024	4	2	true	3000	2583	417	13.9	91380	11	140
1024	8	2	true	3000	2769	231	7.7	74580	11	180
1024	16	2	true	3000	2402	598	19.9	188480	11	260
1024	1	4	true	3000	1716	1284	42.8	180240	13	110
1024	2	4	true	3000	2325	675	22.5	120000	13	120
1024	4	4	true	3000	2608	392	13.1	93880	13	140
1024	8	4	true	3000	2758	242	8.1	82560	13	180
1024	1	8	true	3000	1729	1271	42.4	190810	17	110
1024	2	8	true	3000	2339	661	22.0	130320	17	120
